pattern_name,category,problem_tags,description,key_widgets,code_snippet,anti_pattern
Infinite Scroll List,UI/UX,"lazy load, pagination, load more, cuộn vô tận, danh sách dài","Dùng ScrollController để phát hiện khi người dùng cuộn đến cuối danh sách và kích hoạt tải thêm dữ liệu.","ListView.builder, ScrollController, CircularProgressIndicator","final controller = ScrollController(); @override void initState() { super.initState(); controller.addListener(() { if (controller.position.pixels >= controller.position.maxScrollExtent - 200) { ref.read(provider.notifier).loadMore(); } }); }","Tránh sử dụng `SingleChildScrollView` bao ngoài `ListView`. Không dùng `shrinkWrap: true` nếu không thực sự cần thiết vì gây giảm hiệu năng nghiêm trọng."
Optimistic UI Update,State Management,"fast response, feedback, like button, cập nhật tức thì","State update trước khi gọi API để tạo cảm giác phản hồi tức thì. Nếu API lỗi thì rollback lại state cũ.","Riverpod, Bloc","// Riverpod Example void toggleLike(String id) { final oldState = state; state = [...state, id ]; // Update immediately try { await repo.like(id); } catch (e) { state = oldState; // Rollback on error } }","Không thông báo lỗi cho người dùng khi rollback. Quên try-catch khi gọi API."
Debounced Search,Logic,"search, filter, tìm kiếm, hiệu năng, input delay","Chờ người dùng ngừng gõ một khoảng thời gian (VD: 500ms) trước khi gọi API tìm kiếm để giảm tải server.","Timer, TextField, Riverpod","Timer? _debounce; void onSearchChanged(String query) { if (_debounce?.isActive ?? false) _debounce!.cancel(); _debounce = Timer(const Duration(milliseconds: 500), () { ref.read(searchProvider.notifier).search(query); }); }","Gọi API ngay trong hàm `onChanged` của TextField mỗi khi gõ một ký tự."
Responsive Layout (Mobile/Desktop),UI/UX,"responsive, adaptive, tablet, desktop, đa màn hình","Tự động chuyển đổi giữa BottomNavigationBar (Mobile) và NavigationRail (Desktop/Tablet) dựa trên chiều rộng màn hình.","LayoutBuilder, NavigationRail, BottomNavigationBar","return LayoutBuilder(builder: (context, constraints) { if (constraints.maxWidth > 600) { return Row(children: [NavigationRail(...), Expanded(child: body)]); } else { return Scaffold(body: body, bottomNavigationBar: BottomNavigationBar(...)); } });","Sử dụng `Platform.isAndroid` để quyết định layout thay vì kích thước màn hình (vì Android cũng có tablet/desktop mode)."
Secure Authentication Flow,Architecture,"auth, login, redirect, bảo mật, token check","Kiểm tra trạng thái đăng nhập khi khởi động app và điều hướng người dùng. Sử dụng Interceptor để tự động logout khi token hết hạn (401).","GoRouter, FlutterSecureStorage, Dio","// GoRouter redirect redirect: (context, state) { final isLoggedIn = authState.value != null; final isLoggingIn = state.matchedLocation == '/login'; if (!isLoggedIn && !isLoggingIn) return '/login'; if (isLoggedIn && isLoggingIn) return '/'; return null; }","Lưu Access Token vào `SharedPreferences` (không an toàn). Xử lý logic điều hướng ngay trong UI Widget."
Form Validation & Submission,UI/UX,"form, input, validate, error handling, nhập liệu","Sử dụng GlobalKey<FormState> để validate toàn bộ form trước khi gửi dữ liệu. Hiển thị lỗi ngay trên TextField.","Form, TextFormField, GlobalKey","if (_formKey.currentState!.validate()) { _formKey.currentState!.save(); await submitData(); } // Validator example: validator: (value) => (value == null || value.isEmpty) ? 'Required' : null","Thực hiện validate thủ công bằng `if-else` cho từng controller thay vì dùng hệ thống Form validator."
Offline-First Data Sync,Architecture,"offline, cache, database, sync, mất mạng","Ưu tiên hiển thị dữ liệu từ Local DB (Hive/Isar). Gọi API cập nhật DB nền. Nếu không có mạng, hiển thị data cũ và queue hành động gửi đi.","Hive, ConnectivityPlus, Dio","final localData = await localSource.getAll(); if (localData.isNotEmpty) emit(localData); try { final remoteData = await remoteSource.getAll(); await localSource.save(remoteData); emit(remoteData); } catch (_) { // Silent fail or show snackbar }","Chặn người dùng sử dụng app khi không có mạng (Loading spinner vô tận)."
Staggered Animation List,UI/UX,"animation, list effect, hiệu ứng danh sách","Áp dụng hiệu ứng xuất hiện lần lượt cho các phần tử trong danh sách để tạo cảm giác mượt mà.","flutter_staggered_animations, AnimationController","AnimationConfiguration.staggeredList( position: index, duration: const Duration(milliseconds: 375), child: SlideAnimation( verticalOffset: 50.0, child: FadeInAnimation(child: ListItem(...)), ), )","Dùng cùng một AnimationController cho tất cả item khiến chúng xuất hiện cùng lúc thay vì lần lượt."
Custom Painter Usage,Performance,"custom ui, drawing, chart, vẽ hình, tối ưu","Sử dụng CustomPainter cho các hình vẽ phức tạp thay vì ghép nhiều Container/Widget để tối ưu bộ nhớ và GPU.","CustomPaint, CustomPainter, RepaintBoundary","class MyPainter extends CustomPainter { @override void paint(Canvas canvas, Size size) { // Draw logic } @override bool shouldRepaint(old) => false; // Optimization } // Wrap with RepaintBoundary if complex RepaintBoundary(child: CustomPaint(painter: MyPainter()))","Luôn trả về `true` trong `shouldRepaint`. Quên dùng `RepaintBoundary` cho các painter phức tạp."
Theme Mode Switch,UI/UX,"dark mode, theme, giao diện tối sáng","Chuyển đổi giao diện Sáng/Tối động mà không cần restart app. Lưu preference vào local storage.","MaterialApp, ThemeMode, Riverpod","MaterialApp( themeMode: ref.watch(themeProvider), theme: ThemeData.light(), darkTheme: ThemeData.dark(), ); // Provider logic: state = state == ThemeMode.light ? ThemeMode.dark : ThemeMode.light;","Hardcode màu sắc (Colors.black) thay vì dùng `Theme.of(context).colorScheme.onSurface`."
Pop Scope (Back Button Handle),Navigation,"back button, exit app, chặn thoát, xác nhận thoát","Chặn nút Back của Android để hiện dialog xác nhận trước khi thoát màn hình (Thay thế WillPopScope cũ).","PopScope","PopScope( canPop: false, onPopInvoked: (didPop) async { if (didPop) return; final bool shouldPop = await showDialog(...) ?? false; if (shouldPop && context.mounted) Navigator.of(context).pop(); }, child: Scaffold(...))","Sử dụng `WillPopScope` (đã deprecated). Không kiểm tra `didPop` gây xung đột với GoRouter."
Sliver Sticky Header,UI/UX,"scroll, header, sticky, appbar, tiêu đề dính","Tạo hiệu ứng header dính trên cùng khi cuộn, sử dụng trong các trang Profile hoặc Dashboard.","CustomScrollView, SliverPersistentHeader, SliverAppBar","SliverPersistentHeader( pinned: true, delegate: _StickyHeaderDelegate( minHeight: 60, maxHeight: 200, child: HeaderContent(), ), )","Cố gắng dùng `Stack` và lắng nghe scroll offset để tự tính toán vị trí (giật lag và kém hiệu quả)."
Image Caching & Placeholder,Performance,"image, cache, loading, ảnh mạng","Hiển thị ảnh từ mạng với bộ nhớ đệm, placeholder khi đang tải và icon lỗi khi tải thất bại.","cached_network_image","CachedNetworkImage( imageUrl: url, placeholder: (context, url) => CircularProgressIndicator(), errorWidget: (context, url, error) => Icon(Icons.error), cacheManager: customCacheManager, )","Dùng `Image.network` cho danh sách dài (không cache, tốn băng thông, lag khi cuộn)."
Dart 3 Sealed Class State,Logic,"pattern matching, state management, switch","Kiểm tra tính toàn vẹn của trạng thái (Exhaustiveness checking) bằng Sealed Classes và Switch Expression.","sealed class, switch","sealed class UIState {} class Loading extends UIState {} class Data extends UIState { final String data; Data(this.data); } // Usage widget = switch (state) { Loading() => CircularProgressIndicator(), Data(data: var d) => Text(d), };","Dùng `if (state is Loading)` rời rạc, dễ bỏ sót trường hợp."
Overlay Portal (Tooltip/Menu),UI/UX,"overlay, dropdown, tooltip, menu, popup","Hiển thị widget nổi lên trên các widget khác (như Dropdown, Tooltip) mà không bị cắt bởi cha. Thay thế OverlayEntry.","OverlayPortal, OverlayPortalController","final controller = OverlayPortalController(); return OverlayPortal( controller: controller, overlayChildBuilder: (context) => Positioned(child: Menu()), child: Button(onPressed: controller.toggle), );","Dùng `Stack` để giả lập overlay (bị giới hạn bởi kích thước widget cha)."
Hidden Drawer (Zoom),UI/UX,"drawer, menu, animation, zoom effect","Tạo hiệu ứng menu trượt kiểu 3D/Zoom thay vì Drawer truyền thống.","Transform, AnimationController, Stack","Stack( children: [MenuWidget(), Transform(transform: Matrix4.identity()..scale(scale)..translate(xOffset), child: MainScreen())] )","Sử dụng thư viện quá nặng cho một hiệu ứng đơn giản có thể tự viết."
Biometric Auth,System,"face id, touch id, fingerprint, bảo mật vân tay","Xác thực người dùng bằng sinh trắc học trước khi truy cập dữ liệu nhạy cảm.","local_auth","final auth = LocalAuthentication(); final bool didAuthenticate = await auth.authenticate( localizedReason: 'Quét vân tay để đăng nhập', options: const AuthenticationOptions(biometricOnly: true), );","Không xử lý trường hợp thiết bị không có phần cứng bảo mật hoặc người dùng chưa cài đặt vân tay."
Hero Animation Transition,UI/UX,"animation, transition, image zoom, chuyển cảnh","Hiệu ứng chuyển đổi mượt mà của cùng một widget giữa hai màn hình khác nhau (thường dùng cho ảnh).","Hero","// Screen A Hero(tag: 'img_1', child: Image.network(url)) // Screen B Hero(tag: 'img_1', child: Image.network(url))","Sử dụng `tag` không trùng khớp giữa hai màn hình hoặc dùng tag trùng lặp trên cùng một màn hình."
Pull to Refresh,UI/UX,"refresh, reload, kéo để tải, làm mới","Kéo danh sách từ trên xuống để tải lại dữ liệu mới nhất.","RefreshIndicator","RefreshIndicator( onRefresh: () async { await ref.read(provider.notifier).refresh(); }, child: ListView(...), )","Đặt `RefreshIndicator` bên trong `ListView` thay vì bao bên ngoài."
Dismissible List Item,UI/UX,"swipe, delete, action, vuốt xóa","Vuốt sang trái hoặc phải để thực hiện hành động (xóa, lưu trữ) trên item danh sách.","Dismissible","Dismissible( key: ValueKey(item.id), onDismissed: (direction) => deleteItem(item.id), background: Container(color: Colors.red), child: ListTile(...), )","Không cung cấp `key` duy nhất hoặc không xóa item khỏi data list sau khi UI đã dismiss."
Shimmer Loading Effect,UI/UX,"loading, skeleton, chờ, hiệu ứng xương","Hiển thị khung xương (skeleton) với hiệu ứng ánh sáng chạy qua trong khi chờ dữ liệu tải.","shimmer, Container","Shimmer.fromColors( baseColor: Colors.grey[300]!, highlightColor: Colors.grey[100]!, child: Container(color: Colors.white), )","Dùng CircularProgressIndicator cho mọi nơi, gây cảm giác ứng dụng bị treo."
Keep Alive Page,Performance,"tab, navigation, caching, giữ trạng thái","Giữ trạng thái của widget (như vị trí cuộn) khi chuyển đổi giữa các Tab trong PageView.","AutomaticKeepAliveClientMixin","class _MyState extends State<MyWidget> with AutomaticKeepAliveClientMixin { @override bool get wantKeepAlive => true; @override Widget build(context) { super.build(context); return ListView(...); } }","Quên gọi `super.build(context)` trong hàm build."
Value Listenable Builder,Performance,"rebuild, optimization, state, tối ưu rebuild","Chỉ rebuild một widget con cụ thể khi giá trị thay đổi thay vì rebuild toàn bộ widget cha.","ValueListenableBuilder, ValueNotifier","final ValueNotifier<int> _counter = ValueNotifier(0); // In build ValueListenableBuilder<int>( valueListenable: _counter, builder: (ctx, value, _) => Text('$value'), )","Dùng `setState` cho các thay đổi nhỏ, cục bộ tần suất cao."
Draggable Scrollable Sheet,UI/UX,"bottom sheet, modal, scroll, kéo lên","Tạo BottomSheet có thể kéo giãn chiều cao tùy ý, thường dùng cho chi tiết bản đồ hoặc bộ lọc.","DraggableScrollableSheet","DraggableScrollableSheet( builder: (context, scrollController) { return ListView(controller: scrollController, ...); } )","Quên truyền `scrollController` vào ListView con, khiến sheet không cuộn được."
Sliver App Bar Floating,UI/UX,"appbar, scroll, hide, ẩn hiện menu","AppBar ẩn đi khi cuộn xuống và hiện lại ngay lập tức khi cuộn lên nhẹ.","SliverAppBar","SliverAppBar( floating: true, snap: true, pinned: false, ... )","Dùng `pinned: true` khi muốn hiệu ứng ẩn hiện linh hoạt."
Masonry Grid Layout,UI/UX,"grid, pinterest style, layout, lưới so le","Hiển thị lưới với chiều cao các item khác nhau (kiểu Pinterest).","flutter_staggered_grid_view","MasonryGridView.count( crossAxisCount: 2, mainAxisSpacing: 4, crossAxisSpacing: 4, itemBuilder: (context, index) => Card(...), )","Cố gắng dùng `GridView` chuẩn và cắt crop ảnh để bằng nhau."
Interactive Viewer (Zoom/Pan),UI/UX,"zoom, pan, image, map, phóng to","Cho phép người dùng phóng to, thu nhỏ, kéo thả một widget (thường là ảnh hoặc sơ đồ).","InteractiveViewer","InteractiveViewer( minScale: 0.5, maxScale: 4.0, child: Image.asset('map.png'), )","Tự viết logic GestureDetector để xử lý ma trận transform."
Toast & Snackbar Notification,UI/UX,"alert, notification, thông báo, popup","Hiển thị thông báo tạm thời ở cuối màn hình.","ScaffoldMessenger, SnackBar","ScaffoldMessenger.of(context).showSnackBar( SnackBar(content: Text('Thành công!'), behavior: SnackBarBehavior.floating), );","Dùng `showDialog` cho các thông báo đơn giản không cần tương tác."
Expansion Tile List,UI/UX,"accordion, collapse, expand, mở rộng","Danh sách có thể mở rộng/thu gọn để xem chi tiết.","ExpansionTile","ExpansionTile( title: Text('Chi tiết'), children: [ Text('Nội dung bên trong...') ], )","Quên lưu trạng thái mở/đóng nếu danh sách bị rebuild."
Reorderable List,UI/UX,"sort, drag drop, list, sắp xếp","Cho phép người dùng kéo thả để thay đổi vị trí các item trong danh sách.","ReorderableListView","ReorderableListView( onReorder: (oldIndex, newIndex) { // Update data list logic }, children: items.map((e) => ListTile(key: ValueKey(e), ...)).toList(), )","Không cập nhật lại danh sách dữ liệu gốc trong hàm `onReorder`."
Text Form Field Password,UI/UX,"input, password, visibility, mật khẩu","Input mật khẩu có nút con mắt để hiện/ẩn ký tự.","TextFormField, IconButton","bool _obscure = true; TextFormField( obscureText: _obscure, decoration: InputDecoration( suffixIcon: IconButton( onPressed: () => setState(() => _obscure = !_obscure), icon: Icon(_obscure ? Icons.visibility : Icons.visibility_off), ), ), )","Tạo 2 widget TextField khác nhau và tráo đổi chúng thay vì đổi thuộc tính `obscureText`."
Copy to Clipboard,System,"clipboard, copy, paste, sao chép","Sao chép văn bản vào bộ nhớ tạm của thiết bị.","Clipboard, ClipboardData","await Clipboard.setData(ClipboardData(text: 'Nội dung copy')); ScaffoldMessenger.of(context).showSnackBar(SnackBar(content: Text('Đã copy!')));","Không thông báo cho người dùng biết hành động copy đã thành công."
Launch URL (Web/Call/SMS),System,"link, web, browser, phone, mở liên kết","Mở trình duyệt web, gọi điện hoặc nhắn tin từ app.","url_launcher","final Uri url = Uri.parse('https://flutter.dev'); if (await canLaunchUrl(url)) { await launchUrl(url, mode: LaunchMode.externalApplication); }","Không kiểm tra `canLaunchUrl` trước khi gọi, có thể gây crash."
Share Content,System,"share, social, chia sẻ","Chia sẻ văn bản hoặc file sang các ứng dụng khác (Facebook, Zalo...).","share_plus","Share.share('Check out this app!', subject: 'App Recommendation');","Hardcode danh sách ứng dụng chia sẻ thay vì dùng Share Sheet của hệ thống."
Device Info Access,System,"device, info, model, version, thông tin máy","Lấy thông tin thiết bị như model, hệ điều hành để log lỗi hoặc logic riêng.","device_info_plus","final plugin = DeviceInfoPlugin(); if (Platform.isAndroid) { final androidInfo = await plugin.androidInfo; print(androidInfo.model); }","Không kiểm tra `Platform` trước khi gọi hàm đặc thù của OS."
Connectivity Check,System,"network, wifi, status, kiểm tra mạng","Kiểm tra trạng thái kết nối mạng hiện tại (Wifi/4G/None).","connectivity_plus","final result = await Connectivity().checkConnectivity(); if (result == ConnectivityResult.none) { showNoInternetDialog(); }","Chỉ kiểm tra một lần lúc khởi động mà không lắng nghe stream thay đổi trạng thái mạng."
Permission Handling,System,"permission, camera, location, quyền truy cập","Xin quyền truy cập phần cứng và xử lý khi người dùng từ chối.","permission_handler","var status = await Permission.camera.request(); if (status.isGranted) { openCamera(); } else if (status.isPermanentlyDenied) { openAppSettings(); }","Không xử lý trường hợp `isPermanentlyDenied`, khiến người dùng bị kẹt."
Geolocator (Location),System,"gps, location, map, vị trí","Lấy tọa độ GPS hiện tại của người dùng.","geolocator","final position = await Geolocator.getCurrentPosition(desiredAccuracy: LocationAccuracy.high);","Quên kiểm tra xem Location Service có đang bật hay không trước khi lấy tọa độ."
