No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Semantics,Screen Reader Labels,semantics label button accessibility,Flutter,Tất cả interactive widgets cần Semantics label cho screen reader,"Thêm Semantics hoặc semanticLabel","Button không có label","Semantics(label: 'Đóng', child: IconButton(...))","IconButton(icon: Icon(Icons.close), onPressed: ...)",Critical
2,Semantics,Exclude Decorative,excludesemantics decorative icon,Flutter,Ẩn decorative icons khỏi screen reader,"Dùng excludeFromSemantics: true","Decorative icon được đọc lên","Icon(Icons.star, semanticLabel: null) // hoặc ExcludeSemantics","Icon(Icons.star) // đọc là 'star'",Medium
3,Semantics,Image Descriptions,image semantic description alt,Flutter,Mô tả ảnh cho người dùng khiếm thị,"Thêm semanticLabel cho Image","Image không có description","Image.asset('logo.png', semanticLabel: 'Logo công ty ABC')","Image.asset('logo.png')",High
4,Touch Target,Minimum Size,touch target 48 44 size,Flutter,Touch target tối thiểu 48x48 dp (Material) hoặc 44x44 pt (iOS),"Set minimum size 48x48","Nút quá nhỏ","SizedBox(width: 48, height: 48, child: IconButton(...))","IconButton(...) // 24x24 mặc định",Critical
5,Touch Target,Hit Test Extension,gesture hitslop padding,Flutter,Mở rộng vùng tap không ảnh hưởng visual size,"Dùng padding hoặc MaterialTapTargetSize","Chỉ dựa vào icon size","GestureDetector(behavior: HitTestBehavior.opaque, child: Padding(...))","Icon(size: 16) // quá nhỏ để tap",High
6,Touch Target,Spacing Between Targets,spacing touch targets,Flutter,Khoảng cách tối thiểu 8dp giữa các touch targets,"Thêm spacing >= 8dp","Các button sát nhau","Row(children: [btn1, SizedBox(width: 8), btn2])","Row(children: [btn1, btn2]) // sát nhau",Medium
7,Color Contrast,Text Contrast Ratio,contrast ratio wcag text,Flutter,Tỉ lệ contrast tối thiểu 4.5:1 cho text thường và 3:1 cho large text,"Check contrast ratio trước khi chọn màu","Text nhạt trên nền sáng","Text(style: TextStyle(color: Color(0xFF1A1A1A))) // trên nền trắng","Text(style: TextStyle(color: Colors.grey[400])) // trên nền trắng",Critical
8,Color Contrast,Non-Text Contrast,contrast icon button visual,Flutter,UI elements (icons buttons borders) cần contrast tối thiểu 3:1,"Đảm bảo icon/border đủ contrast","Icon quá nhạt","Icon(Icons.add, color: Color(0xFF333333))","Icon(Icons.add, color: Colors.grey[300])",High
9,Color Contrast,Dark Mode Support,dark mode theme contrast,Flutter,Đảm bảo contrast đạt chuẩn cho cả light và dark mode,"Test cả 2 theme modes","Chỉ test light mode","Theme.of(context).colorScheme.onSurface","Color(0xFF333333) // hardcode không đổi theo theme",High
10,Color,Not Only Color,color blind indicator shape,Flutter,Không dùng màu là chỉ báo duy nhất cho thông tin quan trọng,"Kết hợp icon/shape với color","Chỉ dùng màu để phân biệt","Row(children: [Icon(Icons.error), Text('Lỗi', style: TextStyle(color: Colors.red))])","Text('Lỗi', style: TextStyle(color: Colors.red))",High
11,Text,Scalable Text,textscaler font size accessibility,Flutter,Hỗ trợ textScaler để người dùng có thể phóng to text,"Dùng Theme.textTheme","Hardcode fontSize","Text('Hi', style: Theme.of(context).textTheme.bodyLarge)","Text('Hi', style: TextStyle(fontSize: 14))",High
12,Text,Text Truncation,overflow ellipsis truncate,Flutter,Xử lý text overflow đúng cách với ellipsis hoặc fade,"Set overflow và maxLines","Text tràn ra ngoài","Text('Long...', overflow: TextOverflow.ellipsis, maxLines: 2)","Text('Long text...') // tràn container",Medium
13,Text,Dynamic Type,font accessibility large small,Flutter,Test với font size từ nhỏ nhất đến lớn nhất trong settings,"Test với tất cả font scales","Chỉ test với font mặc định","MediaQuery.textScalerOf(context).scale(14)","// Không test với accessibility settings",Medium
14,Focus,Focus Management,focus traversal keyboard,Flutter,Quản lý focus order hợp lý cho keyboard navigation,"Set FocusTraversalOrder khi cần","Focus order không logic","FocusTraversalGroup(policy: OrderedTraversalPolicy(...))","// Để Flutter tự quyết định khi order phức tạp",Medium
15,Focus,Focus Visibility,focus indicator ring border,Flutter,Hiển thị focus indicator rõ ràng khi navigate bằng keyboard,"Custom focusColor hoặc FocusNode","Focus không hiển thị","Focus(onFocusChange: (f) => setState(() => hasFocus = f))","// Không có visual feedback khi focus",High
16,Focus,Restore Focus,autofocus restore modal,Flutter,Restore focus về element trước khi mở modal/dialog,"FocusScope.of(context).previousFocus()","Focus bị mất sau khi đóng modal","Navigator.pop(context); FocusScope.of(context).previousFocus()","Navigator.pop(context) // focus bị mất",Medium
17,Navigation,Back Button Handle,popscope android back,Flutter,Xử lý nút Back Android đúng cách với PopScope,"Dùng PopScope","WillPopScope (deprecated)","PopScope(canPop: false, onPopInvokedWithResult: ...)","WillPopScope(onWillPop: ...) // deprecated",High
18,Navigation,Screen Reader Announce,announce route semantics,Flutter,Thông báo cho screen reader khi chuyển màn hình,"SemanticsService.announce()","Chuyển màn hình im lặng","SemanticsService.announce('Đã mở trang Cài đặt', TextDirection.ltr)","Navigator.push(...) // không thông báo",Medium
19,Navigation,Skip Navigation,skip link content main,Flutter,Cung cấp cách bỏ qua navigation để đến nội dung chính,"Focus node cho main content","Phải tab qua toàn bộ nav","ElevatedButton(onPressed: () => mainContentFocus.requestFocus(), child: Text('Bỏ qua'))","// Không có skip link",Medium
20,Forms,Error Messages,form error inline accessible,Flutter,Hiển thị lỗi inline gần field và thông báo cho screen reader,"errorText trong InputDecoration","Lỗi ở xa field","TextFormField(decoration: InputDecoration(errorText: error))","// Hiển thị lỗi ở cuối form",High
21,Forms,Form Labels,label hint form input,Flutter,Mỗi form field cần label rõ ràng (không chỉ hint),"labelText trong InputDecoration","Chỉ dùng hintText","TextFormField(decoration: InputDecoration(labelText: 'Email', hintText: 'example@mail.com'))","TextFormField(decoration: InputDecoration(hintText: 'Email'))",High
22,Forms,Required Indicator,required asterisk field,Flutter,Đánh dấu rõ ràng các field bắt buộc,"Thêm * hoặc (required) vào label","Không đánh dấu required","InputDecoration(labelText: 'Email *')","InputDecoration(labelText: 'Email') // required nhưng không hiển thị",Medium
23,Motion,Reduced Motion,reduce motion animation accessibility,Flutter,Tôn trọng cài đặt Reduce Motion của hệ thống,"Check MediaQuery.disableAnimations","Animation luôn chạy","if (!MediaQuery.disableAnimationsOf(context)) animate()","// Animation luôn chạy bất kể settings",High
24,Motion,Auto-play Content,autoplay video audio control,Flutter,Không auto-play video/audio hoặc cho phép tắt,"Cung cấp play button","Auto-play media","VideoPlayer(autoPlay: false)","VideoPlayer(autoPlay: true) // làm phiền user",Medium
25,Motion,Animation Duration,animation duration time,Flutter,Animation không nên quá nhanh (< 100ms) hoặc quá chậm (> 500ms),"Duration 150-300ms cho micro-interactions","Animation quá nhanh hoặc quá chậm","Duration(milliseconds: 200)","Duration(milliseconds: 50) // quá nhanh để nhận ra",Low
26,Feedback,Loading States,loading indicator progress,Flutter,Hiển thị loading state rõ ràng cho async operations,"CircularProgressIndicator hoặc Skeleton","Không có loading feedback","if (isLoading) CircularProgressIndicator() else Content()","// Blank screen khi loading",High
27,Feedback,Error States,error message retry action,Flutter,Hiển thị thông báo lỗi rõ ràng với action để retry,"Error message + Retry button","Im lặng khi lỗi","Column([Text('Có lỗi xảy ra'), ElevatedButton('Thử lại')])","// Blank screen hoặc chỉ có icon lỗi",High
28,Feedback,Success Confirmation,success toast snackbar confirmation,Flutter,Xác nhận hành động thành công cho người dùng,"SnackBar hoặc Dialog","Không có feedback","ScaffoldMessenger.of(context).showSnackBar(SnackBar(content: Text('Đã lưu!')))","// Không thông báo gì sau khi save",Medium
29,Feedback,Haptic Feedback,haptic vibration touch,Flutter,Sử dụng haptic feedback cho các action quan trọng,"HapticFeedback.lightImpact()","Không có haptic","HapticFeedback.mediumImpact(); // sau khi tap important button","// Không có tactile feedback",Low
30,Platform,iOS Guidelines,cupertino ios human interface,Flutter,Tuân thủ Human Interface Guidelines trên iOS,"Dùng Cupertino widgets hoặc adaptive","Material widgets trên iOS","CupertinoPageRoute, CupertinoSwitch khi cần","MaterialPageRoute trên iOS với animation lạ",Medium
31,Platform,Android Guidelines,material android guidelines,Flutter,Tuân thủ Material Design guidelines trên Android,"Dùng Material 3 widgets","UI không theo platform conventions","MaterialApp, NavigationBar, FloatingActionButton","Custom navigation không theo Material",Medium
32,Platform,Gesture Conventions,gesture swipe back platform,Flutter,Tôn trọng gesture conventions của từng platform,"iOS: swipe right to back","Block platform gestures","Scaffold với Navigator tự động handle","PopScope block iOS swipe back gesture",Medium
33,Orientation,Rotation Support,rotation orientation landscape,Flutter,Hỗ trợ rotation nếu phù hợp với app type,"Test cả portrait và landscape","Lock orientation không cần thiết","LayoutBuilder để responsive","SystemChrome.setPreferredOrientations([portrait]) // không cần",Low
34,Orientation,Keyboard Overlap,keyboard resize insets,Flutter,Xử lý keyboard hiển thị không che form fields,"resizeToAvoidBottomInset hoặc scroll","Keyboard che input field","Scaffold(resizeToAvoidBottomInset: true)","Scaffold(resizeToAvoidBottomInset: false) // keyboard che field",High
35,Testing,Accessibility Audit,accessibility audit testing,Flutter,Chạy accessibility audit trong development,"Dùng flutter accessibility tools","Không test accessibility","debugCheckIntrinsicSizes: true, semanticsDumpEnabled: true","// Không test với TalkBack/VoiceOver",High
