No,Category,Intensity Tier,Keywords,Trigger,Duration,Easing,Flutter Snippet,Framework Notes,Do,Don't,Performance Notes
1,Press Micro-interaction,Subtle,"press, tap, button, scale, click feedback",tap down / up,120-150ms,Curves.easeInOutCubic,"AnimatedScale(scale: isPressed ? 0.96 : 1.0, duration: const Duration(milliseconds: 120), curve: Curves.easeInOutCubic, child: child)","Wrap in GestureDetector or InkWell; check MediaQuery.disableAnimationsOf(context) to skip scale on low-motion preference",Keep scale between 0.95 and 0.98 so feedback is tactile without shifting layout,Don't animate container padding or margin on press; it triggers layout reflows,Runs on RenderObject scale transform; negligible GPU overhead
2,Hover Micro-interaction,Subtle,"hover, card, elevation, lift, desktop web",hover (pointer enter/exit),180-220ms,Curves.easeOutCubic,"AnimatedContainer(duration: const Duration(milliseconds: 200), curve: Curves.easeOutCubic, transform: Matrix4.translationValues(0, isHovered ? -3 : 0, 0), decoration: BoxDecoration(boxShadow: isHovered ? [BoxShadow(color: Colors.black.withOpacity(0.08), blurRadius: 12, offset: const Offset(0, 6))] : []))","Use MouseRegion(onEnter: ..., onExit: ...) on Flutter Web/Desktop; verify touch devices ignore hover state",Pair translation lift with subtle blur expansion for natural depth,Don't use hover elevation changes on mobile touch-only screens,Matrix4 translation stays on the compositor thread; avoid recreating BoxDecoration instances outside build
3,Fade & Scale Dialog,Subtle,"dialog, modal, alert, popover, popup",open / dismiss,200-250ms,Curves.easeOutQuad,"showGeneralDialog(context: context, transitionDuration: const Duration(milliseconds: 220), transitionBuilder: (context, a1, a2, child) => ScaleTransition(scale: CurvedAnimation(parent: a1, curve: Curves.easeOutQuad), child: FadeTransition(opacity: a1, child: child)), pageBuilder: ...);",Native Flutter showGeneralDialog with custom transitionBuilder; dismisses with reverse animation automatically,Keep initial scale at ~0.9 or 0.92 so modal doesn't feel like it flies from distance,Don't use heavy blur backdrop filters (BackdropFilter) on low-end Android devices,ScaleTransition and FadeTransition mutate canvas transform/opacity without relayout
4,Scroll Reveal,Standard,"scroll, fade in, reveal, entrance, on view",scroll enter,300-400ms,Curves.easeOutCubic,"TweenAnimationBuilder<double>(tween: Tween(begin: 0.0, end: isVisible ? 1.0 : 0.0), duration: const Duration(milliseconds: 350), curve: Curves.easeOutCubic, builder: (context, val, child) => Opacity(opacity: val, child: Transform.translate(offset: Offset(0, (1 - val) * 20), child: child)), child: child);","Use VisibilityDetector package or ScrollNotification to trigger isVisible once; respect disableAnimationsOf",Keep Y offset under 24dp so it reads as a smooth fade-in rather than a disruptive jump,Don't trigger on every reverse scroll unless building an editorial story app,Use child parameter in TweenAnimationBuilder to prevent rebuilding subtree
5,Stagger List Entrance,Standard,"list, stagger, items, cards, sequence",screen load,350-500ms,Curves.easeOutCubic,"SlideTransition(position: Tween<Offset>(begin: const Offset(0, 0.15), end: Offset.zero).animate(CurvedAnimation(parent: controller, curve: Interval((index * 0.05).clamp(0.0, 0.6), ((index * 0.05) + 0.4).clamp(0.0, 1.0), curve: Curves.easeOutCubic))), child: FadeTransition(opacity: controller, child: item));","Use single AnimationController in parent widget with Intervals derived from item index; dispose controller properly",Clamp intervals between 0.0 and 1.0; limit stagger effect to first 6-8 visible items,Don't stagger 20+ list items simultaneously; later items feel delayed and unresponsive,Only animate items visible in first viewport; let subsequent items scroll in naturally
6,Page Transition Slide & Fade,Standard,"route, navigation, page transition, slide",navigation push,250-320ms,Curves.easeOutCubic,"PageRouteBuilder(transitionDuration: const Duration(milliseconds: 280), pageBuilder: (ctx, anim, secAnim) => const DetailScreen(), transitionsBuilder: (ctx, anim, secAnim, child) => SlideTransition(position: Tween<Offset>(begin: const Offset(0.08, 0), end: Offset.zero).animate(CurvedAnimation(parent: anim, curve: Curves.easeOutCubic)), child: FadeTransition(opacity: anim, child: child)));","Integrate with GoRouter custom page transitions or MaterialApp onGenerateRoute; supports CupertinoPageRoute on iOS",Use subtle horizontal offset (0.05 to 0.1) combined with fade for a premium modern mobile feel,Don't use full 1.0 width slides on web/desktop; full slides feel clunky outside native mobile,Asymmetric exit is faster (200ms) for snappy navigation feel
7,Hero Shared Element,Standard,"hero, shared element, morph, card to details",route change,300-400ms,Curves.easeInOutCubic,"Hero(tag: 'product_${item.id}', createRectTween: (begin, end) => MaterialRectArcTween(begin: begin, end: end), child: Material(type: MaterialType.transparency, child: Image.network(item.imageUrl)));","Use MaterialRectArcTween for natural parabolic flight path; wrap text or complex children in Material to preserve text style",Ensure tag is strictly unique per screen item and identical on destination screen,Don't animate complex scrollable containers inside Hero; only images, avatars, or compact cards,Hero automatically creates an overlay during flight; no custom painters needed
8,Shimmer Loading Skeleton,Subtle,"loading, skeleton, shimmer, pulse, placeholder",data loading,1200-1500ms loop,Curves.linear,"ShaderMask(blendMode: BlendMode.srcATop, shaderCallback: (bounds) => LinearGradient(colors: [baseColor, highlightColor, baseColor], stops: const [0.1, 0.5, 0.9], transform: SlidingGradientTransform(slidePercent: controller.value)).createShader(bounds), child: container);","Use SingleTickerProviderStateMixin; repeat(reverse: false); stop animation if MediaQuery.disableAnimationsOf(context)",Sync multiple skeleton bars under one controller so wave passes synchronously across the screen,Don't use heavy gif or multi-loop timers for skeleton cards; use ShaderMask or shimmer package,Single controller + ShaderMask compiles to single shader pass on GPU
9,Pull To Refresh Bounce,Standard,"refresh, pull, haptic, scroll, indicator",scroll overdrag,400ms,Curves.elasticOut,"RefreshIndicator(onRefresh: _refreshData, color: theme.colorScheme.primary, strokeWidth: 2.5, child: ListView(...));","Use BouncingScrollPhysics(parent: AlwaysScrollableScrollPhysics()) for iOS feel; add HapticFeedback.lightImpact() on trigger",Trigger light haptic feedback when pull crosses threshold,Don't block UI interaction indefinitely; enforce a timeout on long async refresh calls,RefreshIndicator uses built-in canvas circle painter; zero layout recalculation
10,Expandable Card / Accordion,Standard,"accordion, collapse, expand, details, chevron",tap header,200-260ms,Curves.easeInOutCubic,"AnimatedCrossFade(firstChild: const SizedBox.shrink(), secondChild: DetailsContent(), crossFadeState: isExpanded ? CrossFadeState.showSecond : CrossFadeState.showFirst, duration: const Duration(milliseconds: 220), sizeCurve: Curves.easeInOutCubic);","AnimatedCrossFade or ExpansionTile with shape: Border() to avoid default divider line insertion",Pair with 180-degree rotation transition on arrow icon: AnimatedRotation(turns: isExpanded ? 0.5 : 0, ...),Don't let expandable content push crucial CTA buttons below screen fold unexpectedly,AnimatedCrossFade smoothly animates height clip without abrupt layout snaps
