No,App_Category,Recommended_Pattern,Style_Priority,Color_Mood,Typography_Mood,Key_Effects,Decision_Rules,Anti_Patterns,Severity
1,E-commerce App,Hero + Grid + Cart,Material 3 + Vibrant,Brand primary + Success green + Trust,Clear + Engaging,Card elevation + Add to cart animation + Price highlight,"{""if_luxury"": ""use-premium-colors"", ""must_have"": ""quick-add-to-cart""}",Tiny tap targets + Hidden cart + Cluttered product grid,HIGH
2,Social Media App,Feed + Stories + Profile,Vibrant + Motion-driven,Engagement colors + Notification red,Modern + Bold,Pull to refresh + Like animation + Story progress,"{""must_have"": ""infinite-scroll"", ""must_have"": ""engagement-feedback""}",No loading states + Static content + Poor image loading,HIGH
3,Banking/Fintech App,Dashboard + Cards + Transactions,Material 3 + Trust,Navy + Trust Blue + Security green,Professional + Clear,Balance animation + Transaction list + Security indicators,"{""must_have"": ""biometric-auth"", ""must_have"": ""transaction-security""}",Insecure storage + No encryption + Hidden fees,CRITICAL
4,Healthcare App,Appointments + Records + Chat,Accessible + Calm,Calm blue + Health green + White,Readable (16px+) + Clear,Appointment reminders + Health charts + Doctor availability,"{""must_have"": ""hipaa-compliance"", ""must_have"": ""accessibility""}",Small text + Complex navigation + No offline access,HIGH
5,Fitness/Workout App,Progress + Workouts + Stats,Vibrant + Energetic,Energetic orange + Progress green,Bold + Motivational,Progress rings + Achievement unlocks + Workout timer,"{""must_have"": ""progress-tracking"", ""if_gamification"": ""add-achievements""}",No visual feedback + Static progress + Poor timer UX,HIGH
6,Food Delivery App,Search + Menu + Tracking,Appetizing + Fast,Warm (Orange Red) + Success green,Clear + Appetizing,Real-time tracking + Order status + Cart animation,"{""must_have"": ""real-time-tracking"", ""must_have"": ""easy-reorder""}",No tracking + Hidden delivery time + Complex checkout,HIGH
7,Travel/Booking App,Search + Listings + Booking,Inspiring + Trust,Sky blue + Destination colors + Trust,Inspirational + Clear,Search animation + Map integration + Price comparison,"{""must_have"": ""search-filters"", ""must_have"": ""booking-confirmation""}",Complex booking flow + No price transparency + Poor photos,HIGH
8,Education/Learning App,Courses + Progress + Quiz,Friendly + Engaging,Learning blue + Progress green + Playful,Friendly + Readable,Progress bars + Quiz feedback + Certificate animation,"{""must_have"": ""progress-saving"", ""must_have"": ""offline-mode""}",No progress indication + Lost progress + Boring design,HIGH
9,Productivity/Todo App,Lists + Calendar + Reminders,Minimal + Clean,Neutral + Priority colors (Red Yellow Green),Clean + Efficient,Task completion animation + Calendar sync + Quick actions,"{""must_have"": ""quick-add"", ""must_have"": ""reminders""}",Complex task creation + No sync + Hidden features,MEDIUM
10,Messaging/Chat App,Conversations + Messages + Media,Clean + Personal,Brand + Read indicators + Online status,Modern + Readable,Typing indicator + Message status + Media preview,"{""must_have"": ""message-status"", ""must_have"": ""media-support""}",No read receipts + Poor media handling + Slow loading,HIGH
11,Music/Audio App,Library + Player + Playlists,Immersive + Dark,Album art colors + Control accents,Modern + Bold,Waveform visualization + Now playing animation + Playlist shuffle,"{""must_have"": ""background-playback"", ""must_have"": ""audio-controls""}",Poor audio player UX + No background play + No offline,HIGH
12,News/Media App,Feed + Articles + Categories,Clean + Readable,Neutral + Category accents,Editorial + Clear,Pull to refresh + Reading progress + Share animation,"{""must_have"": ""offline-reading"", ""must_have"": ""category-filtering""}",Cluttered layout + Slow loading + No offline cache,MEDIUM
13,Dating App,Profiles + Matching + Chat,Personal + Warm,Warm (Pink Red) + Match success,Friendly + Personal,Swipe animation + Match celebration + Profile reveal,"{""must_have"": ""privacy-controls"", ""must_have"": ""report-system""}",No privacy + Poor profile display + Generic design,HIGH
14,Real Estate App,Listings + Search + Favorites,Professional + Trust,Trust blue + Premium gold + Clean white,Professional + Clear,Property gallery + Map markers + Price comparison,"{""must_have"": ""map-view"", ""must_have"": ""save-favorites""}",Poor photos + Complex search + No saved properties,HIGH
15,Ride-sharing App,Booking + Tracking + Payment,Fast + Trust,Brand + Live tracking + Safety indicators,Clear + Functional,Real-time map + Driver tracking + Fare estimation,"{""must_have"": ""real-time-tracking"", ""must_have"": ""safety-features""}",No live tracking + Hidden pricing + Poor driver info,CRITICAL
16,Wallet/Payment App,Balance + Send + History,Secure + Trust,Trust blue + Money green + Security,Professional + Clear,Balance animation + Transaction confirmation + QR scanner,"{""must_have"": ""biometric-auth"", ""must_have"": ""transaction-receipts""}",Insecure + No confirmation + Hidden fees,CRITICAL
17,Weather App,Current + Forecast + Alerts,Atmospheric + Dynamic,Sky gradients + Weather-based colors,Clear + Large,Weather animation + Location-based + Push alerts,"{""must_have"": ""location-accuracy"", ""must_have"": ""severe-alerts""}",Inaccurate data + No alerts + Static design,MEDIUM
18,Gaming App,Game + Leaderboard + Store,Immersive + Engaging,Vibrant + Achievement gold,Bold + Impactful,Game animations + Achievement unlock + Score celebration,"{""must_have"": ""save-progress"", ""must_have"": ""leaderboards""}",Lost progress + Poor performance + No haptics,HIGH
19,Event/Ticketing App,Events + Tickets + QR,Exciting + Trust,Event colors + Ticket accents,Engaging + Clear,Event discovery + QR ticket + Calendar add,"{""must_have"": ""qr-ticket"", ""must_have"": ""calendar-integration""}",No offline ticket + Complex purchase + Hidden fees,HIGH
20,Grocery/Shopping App,Categories + Cart + Delivery,Fresh + Fast,Fresh green + Category colors + CTA,Clear + Appetizing,Product search + Quick add + Delivery slots,"{""must_have"": ""search-autocomplete"", ""must_have"": ""delivery-scheduling""}",Poor product images + Complex checkout + No reorder,HIGH
21,Photography/Camera App,Camera + Gallery + Edit,Creative + Minimal,Neutral + Creative accents,Minimal + Clean,Camera controls + Filter preview + Edit tools,"{""must_have"": ""fast-capture"", ""must_have"": ""non-destructive-editing""}",Slow capture + Poor gallery + Complex editing,MEDIUM
22,Podcast/Audio App,Shows + Episodes + Player,Content-focused + Dark,Dark + Audio waveform accents,Modern + Clear,Audio player + Episode progress + Download indicator,"{""must_have"": ""background-audio"", ""must_have"": ""download-offline""}",Poor player controls + No downloads + No playback speed,HIGH
23,Job Search App,Search + Applications + Profile,Professional + Trust,Professional blue + Success green,Clear + Professional,Job match + Application tracker + Interview reminders,"{""must_have"": ""application-tracking"", ""must_have"": ""profile-completion""}",Complex application + No tracking + Hidden salary,HIGH
24,Pet Care App,Pets + Health + Reminders,Friendly + Warm,Playful + Pet category colors,Friendly + Clear,Pet profiles + Health tracking + Vet reminders,"{""must_have"": ""vaccination-tracking"", ""must_have"": ""vet-locator""}",Generic design + No reminders + Poor pet profiles,MEDIUM
25,Home Automation App,Devices + Scenes + Schedules,Smart + Dark,Dark + Device status colors + Accent,Clear + Functional,Device control + Scene activation + Real-time status,"{""must_have"": ""real-time-control"", ""must_have"": ""automation""}",Slow response + No offline control + Complex setup,HIGH
26,Meditation/Wellness App,Sessions + Progress + Sounds,Calm + Minimal,Calm pastels + Nature colors,Calming + Readable,Breathing animation + Timer + Progress tracking,"{""must_have"": ""offline-audio"", ""must_have"": ""reminders""}",Harsh colors + Distracting UI + No offline,HIGH
27,Parking App,Find + Pay + Navigate,Fast + Trust,Location blue + Payment green,Clear + Functional,Map markers + Payment flow + Timer notification,"{""must_have"": ""map-accuracy"", ""must_have"": ""payment-receipts""}",Inaccurate locations + Complex payment + No timer,HIGH
28,Restaurant/Menu App,Menu + Order + Reservation,Appetizing + Brand,Brand + Food colors + CTA,Appetizing + Clear,Menu browsing + Table booking + Order tracking,"{""must_have"": ""menu-photos"", ""must_have"": ""reservation-system""}",Poor food photos + Complex ordering + No confirmation,HIGH
29,Rental/Sharing App,Browse + Book + Return,Trust + Efficient,Trust blue + Status colors,Clear + Efficient,Availability calendar + Booking confirmation + Return reminder,"{""must_have"": ""availability-check"", ""must_have"": ""damage-reporting""}",No availability + Complex booking + Poor damage flow,HIGH
30,Language Learning App,Lessons + Practice + Progress,Engaging + Playful,Learning colors + Progress indicators,Friendly + Clear,Lesson progress + Quiz feedback + Streak animation,"{""must_have"": ""progress-sync"", ""must_have"": ""gamification""}",Boring design + No motivation + Lost progress,HIGH
31,Pharmacy/Medicine App,Prescriptions + Orders + Reminders,Trust + Healthcare,Medical blue + Trust + Alert colors,Clear + Accessible,Prescription scanner + Refill reminders + Drug info,"{""must_have"": ""reminder-system"", ""must_have"": ""drug-interactions""}",Complex refill + No reminders + Poor drug info,HIGH
32,Insurance App,Policies + Claims + Support,Trust + Professional,Trust blue + Success green + Alert,Professional + Clear,Policy overview + Claim status + Document upload,"{""must_have"": ""claim-tracking"", ""must_have"": ""document-management""}",Hidden policy details + Complex claims + No tracking,HIGH
33,Donation/Charity App,Causes + Donate + Impact,Heartfelt + Trust,Warm + Impact colors + Trust,Heartfelt + Clear,Impact visualization + Donation confirmation + Recurring setup,"{""must_have"": ""impact-transparency"", ""must_have"": ""easy-recurring""}",Hidden impact + Complex donation + No receipts,HIGH
34,Survey/Form App,Questions + Progress + Submit,Clean + Efficient,Brand + Progress + Completion,Clear + Readable,Progress indicator + Skip logic + Submit confirmation,"{""must_have"": ""save-progress"", ""must_have"": ""clear-navigation""}",Lost progress + Complex questions + No feedback,MEDIUM
35,Kids/Family App,Content + Controls + Profiles,Safe + Playful,Playful + Safe colors,Large + Friendly,Parental controls + Age-appropriate content + Usage stats,"{""must_have"": ""parental-controls"", ""must_have"": ""content-filtering""}",No controls + Inappropriate content + Small targets,CRITICAL
