pkg_name,category,description,best_practice_snippet,pro_tip,alternatives
flutter_riverpod,State Management,"Giải pháp quản lý trạng thái hiện đại; reactive caching; an toàn biên dịch.","final provider = Provider((ref) => MyRepo()); ref.watch(provider);","Sử dụng `riverpod_generator` để giảm boilerplate code và hỗ trợ hot-reload state tốt hơn.","bloc, provider"
flutter_bloc,State Management,"Chuẩn mực cho Enterprise App; quản lý trạng thái theo luồng sự kiện (Event-State).","BlocProvider(create: (_) => MyBloc(), child: View());","Dùng `Cubit` cho state đơn giản; `Bloc` cho luồng sự kiện phức tạp cần trace log.","riverpod, mobx"
provider,State Management,Wrapper của InheritedWidget; đơn giản và nhẹ.,"ChangeNotifierProvider(create: (_) => Model(), child: ...);","Chỉ dùng cho app nhỏ/vừa. App lớn nên chuyển sang Riverpod để tránh lỗi 'ProviderNotFound'.","riverpod, bloc"
get,State Management,"Framework tất cả trong một (State; Route; DI).","Get.put(Controller()); Obx(() => Text(controller.val.value));","Cẩn trọng khi dùng cho dự án lớn vì khó test và tách biệt logic. Tốt cho MVP.","riverpod, go_router"
hydrated_bloc,State Management,Tự động lưu trạng thái Bloc xuống đĩa để khôi phục khi mở lại app.,"class MyBloc extends HydratedBloc { ... }","Tuyệt vời để lưu ThemeMode hoặc Language setting mà không cần viết code lưu trữ thủ công.","shared_preferences"
get_it,Dependency Injection,Service Locator trung tâm để truy cập object từ bất kỳ đâu.,"GetIt.I.registerLazySingleton<AuthRepo>(() => AuthRepoImpl());","Luôn reset GetIt trong Unit Test (`GetIt.I.reset()`) để tránh state bị lây nhiễm giữa các test.","provider, riverpod"
injectable,Dependency Injection,Code generator cho GetIt; tự động đăng ký dependency.","@Injectable(as: AuthRepo) class AuthRepoImpl implements AuthRepo {}", "Dùng @Environment('dev') để tráo đổi implementation (Mock vs Real) dễ dàng.","get_it (manual)"
fpdart,Utils,Mang Functional Programming vào Dart (Option; Either; Task),"Either<Failure, Success> login() { ... }","Dùng `Either` thay vì ném Exception để luồng xử lý lỗi tường minh hơn.","dartz"
freezed,Utils,Code generator cho Data Class bất biến và Union Types.,"@freezed class State with _$State { const factory State.data(d) = Data; }","Kết hợp với `json_serializable`. Giúp tránh lỗi Null Pointer khi parse API.","equatable, built_value"
dio,Networking,"HTTP client mạnh mẽ, hỗ trợ Interceptors và Global config.","final dio = Dio(BaseOptions(baseUrl: 'https://api.com'));","Luôn cấu hình Interceptors để xử lý refresh token và log lỗi tập trung.","http, chopper"
dio_cache_interceptor,Networking,Caching cho Dio theo chuẩn HTTP (ETag; Cache-Control).,"dio.interceptors.add(DioCacheInterceptor(options: options));","Sử dụng policy `refresh` để ưu tiên lấy dữ liệu mới nhưng vẫn fallback về cache khi offline.","flutter_cache_manager"
connectivity_plus,Networking,Kiểm tra trạng thái kết nối mạng (Wifi/Mobile).,"var status = await Connectivity().checkConnectivity();","Chỉ kiểm tra được có sóng hay không, không đảm bảo có Internet. Cần ping server thực tế.","internet_connection_checker"
internet_connection_checker_plus,Networking,"Ping thực tế để xác nhận có Internet.","bool hasNet = await InternetConnection().hasInternetAccess;","Kết hợp với connectivity_plus để tạo logic offline mode hoàn chỉnh.","connectivity_plus"
hive,Database,"NoSQL Database siêu nhanh, key-value, tối ưu cho mobile.","var box = await Hive.openBox('test'); box.put('key', 'val');","Tuyệt vời cho caching config. Không phù hợp query phức tạp (dùng Isar thay thế).","shared_preferences, isar"
