Stage,Goal,Prompt Template,Output Schema,Required Inputs,Length/Limit,Quality Gate,Notes
Input Analyzer,"Extract app positioning before writing store copy","I will provide an app idea, feature list, or codebase summary. Act as an ASO specialist and identify the USP, primary persona, core problem, keyword clusters, best-fit category, and tags.","{ usp, persona, short_tail_keywords, long_tail_keywords, category, tags, differentiation }","feature summary, target user, monetization model, platform scope","No invented claims; infer only from provided facts","Use plain language and avoid keyword stuffing","Start with facts, then infer positioning"
App Name,"Create a compliant title","Generate an app name that combines the brand with one core keyword. Keep it readable and policy-safe.","{ app_name, rationale }","brand name, core keyword","Max 30 characters","Avoid 'best', '#1', and misleading claims","Prefer natural phrasing over forced keyword matches"
Short Description,"Write a high-converting summary","Write a short description that states the main value and ends with a soft CTA.","{ short_description, rationale }","core value proposition, target user","Max 80 characters","One sentence only; no spammy repetition","Focus on the strongest benefit"
Full Description,"Generate structured store copy","Write a full description with sections for intro, key features, benefits, how it works, trust, and privacy.","{ intro, features, benefits, how_it_works, trust, privacy }","feature list, differentiators, proof points","Max 4000 characters","Must be truthful, readable, and scannable","Use bullet lists and short paragraphs"
Keyword Strategy,"Surface relevant ASO keywords","List short-tail and long-tail keywords with priority levels and intent notes.","{ primary_keywords, secondary_keywords, long_tail_keywords, intent_notes }","industry, user pain points, competitor context","No volume claims unless provided by data","Prefer relevance over density","Group by intent and feature"
Content Rating,"Answer IARC prompts honestly","Map the app features to the likely content rating answers and flag any uncertain items that need human confirmation.","{ violence, language, user_control, location, social_features, gambling }","app interactions, social features, location use, user-generated content","Do not guess when the feature is unknown","Truthful answers only","Escalate any unclear sensitive content"
Data Safety,"Prepare the Data Safety declaration","List the data types the app actually collects or shares, how they are used, and whether they are encrypted in transit and deletable.","{ personal_info, location, device_id, app_activity, photos_videos, files_docs, encryption, deletion_request }","actual data collection flows, analytics, auth, ads, location usage","Only declare data that exists in the product","No generic blanket claims","Match the declaration to real behavior"
Privacy Policy,"Draft policy sections","Generate a privacy policy outline covering collection, use, sharing, retention, security, and user requests.","{ overview, data_collected, purpose, sharing, retention, security, user_rights, contact }","support email, domain, data handling model","Must be published at a stable URL","Include deletion request path when supported","Keep the language clear and direct"
Screenshots,"Guide store screenshot order","Create a screenshot plan that shows the core value first, then the main workflows, trust signals, and final CTA.","{ first_shot, feature_shots, trust_shots, cta_shot }","top feature, target persona, core workflow","Use up-to-date device mockups only","First image must show the core feature","Avoid outdated phones and clutter"
Feature Graphic,"Specify promo asset guidance","Define the feature graphic message, visual focus, and safe area for the Play Store feature graphic.","{ message, focal_point, safe_area, brand_elements }","one core promise, brand colors, icon, logo","Respect 1280x720 composition","No tiny text; keep the message bold","Optimize for fast comprehension"
