Widget Name,Category,Description,Key Properties,Usage Context & Pro-Tips
Container,Layout,"Widget đa năng kết hợp painting, positioning, sizing.","decoration, padding, margin, constraints, alignment","Pro-Tip: Đừng dùng Container chỉ để thêm padding (dùng Padding) hoặc kích thước (dùng SizedBox). Nó nặng hơn các widget chuyên biệt."
SizedBox,Layout,Hộp có kích thước cố định.,"width, height","Pro-Tip: Dùng SizedBox.shrink() để ẩn widget (kích thước 0). Dùng làm separator trong Row/Column."
Column,Layout,Xếp con theo chiều dọc.,"mainAxisAlignment, crossAxisAlignment, children","Cảnh báo: Không đặt ListView trong Column mà không bọc ListView trong Expanded (gây lỗi Unbounded Height)."
Row,Layout,Xếp con theo chiều ngang.,"mainAxisAlignment, crossAxisAlignment, children","Cảnh báo: Dễ bị lỗi overflow (vạch vàng đen) nếu nội dung quá rộng. Dùng Expanded hoặc Flexible để khắc phục."
Stack,Layout,Xếp chồng các con lên nhau.,"alignment, fit, children","Dùng Positioned để định vị con tuyệt đối trong Stack."
IndexedStack,Layout,Stack hiển thị 1 con tại 1 thời điểm.,"index, children","Pro-Tip: Dùng cho BottomNav để giữ trạng thái (scroll position) của các tab khi chuyển đổi."
Expanded,Layout,Ép con lấp đầy chỗ trống trong Row/Column.,"flex, child","flex mặc định là 1. Tương đương Flexible(fit: FlexFit.tight)."
Flexible,Layout,Cho phép con co giãn trong Row/Column.,"fit, flex, child","Dùng fit: FlexFit.loose nếu muốn con chỉ to bằng kích thước thật của nó nhưng có thể co lại nếu cần."
Spacer,Layout,Tạo khoảng trống linh hoạt.,flex,"Tương đương Expanded(child: SizedBox()). Giúp code gọn hơn."
SafeArea,Layout,"Tránh các vùng hệ thống (tai thỏ, home bar).","minimum, maintainBottom, child","Luôn bọc Scaffold body trong SafeArea nếu không muốn nội dung bị che khuất trên iPhone đời mới."
LayoutBuilder,Layout,Build dựa trên constraints của cha.,"builder(context, constraints)","Dùng để quyết định layout mobile hay desktop dựa trên maxWidth."
Flow,Layout,Layout tối ưu cho animation biến đổi.,"delegate, children","Hiệu năng cực cao cho animation menu di chuyển phức tạp vì tránh layout pass."
CustomMultiChildLayout,Layout,Layout tùy chỉnh vị trí con phụ thuộc nhau.,"delegate, children","Dùng khi vị trí widget A phụ thuộc kích thước widget B."
Wrap,Layout,Tự động xuống dòng khi hết chỗ.,"spacing, runSpacing, children","Thay thế Row khi số lượng item không xác định và có thể tràn màn hình (ví dụ: danh sách tag/chip)."
ListView,Scrolling,Danh sách cuộn tuyến tính.,"itemBuilder, controller, physics","Pro-Tip: Luôn dùng ListView.builder hoặc separated cho danh sách động để bật lazy loading."
GridView,Scrolling,Lưới cuộn 2D.,"gridDelegate, itemBuilder","Dùng SliverGridDelegateWithFixedCrossAxisCount cho lưới cột cố định."
SingleChildScrollView,Scrolling,Cuộn một con duy nhất.,"child, controller","Chỉ dùng cho nội dung tĩnh, ngắn (như form đăng nhập). Không hỗ trợ lazy loading."
CustomScrollView,Scrolling,Root widget cho hiệu ứng Sliver.,"slivers, controller","Cho phép kết hợp List, Grid, và Appbar co giãn trong cùng một vùng cuộn."
SliverAppBar,Scrolling,Appbar co giãn/trôi nổi.,"pinned, floating, snap, expandedHeight","Đặt trong CustomScrollView. Dùng FlexibleSpaceBar làm background."
